Titulo,fecha_publicacion,Vistas,Likes,Dislikes,Comentarios
"$1 vs $1,000,000,000 Yacht!",2023-06-10T16:00:00Z,109893415,4242010,0,111581
Do Pawnshops Scam You?,2023-06-03T16:59:57Z,75976381,4492049,0,11270
"Ages 1 - 100 Fight For $500,000",2023-05-27T21:14:59Z,135115342,4588657,0,103974
"1,000 Deaf People Hear For The First Time",2023-05-06T19:59:59Z,87072872,4440847,0,154986
Would You Pet a Cheetah in Africa?,2023-05-01T20:00:02Z,177801173,9686230,0,29264
Tipping A Waitress A Car,2023-04-22T20:00:00Z,135582441,8958706,0,25250
Would you go on a Blind Date in Italy?,2023-04-15T20:00:01Z,170205377,10070853,0,15401
"$1 vs $500,000 Plane Ticket!",2023-04-01T20:00:04Z,191092136,5662538,0,158931
I Sent a Subscriber to Disneyland,2023-03-30T20:00:00Z,206792968,13277864,0,38877
I Paid A Real Assassin To Try To Kill Me,2023-03-18T20:00:01Z,153238215,4785580,0,111580
Do Men Lie About Their Height?,2023-02-14T21:00:14Z,173083230,9652423,0,20587
"1,000 Blind People See For The First Time",2023-01-28T21:00:00Z,146800183,9723347,0,401934
I Survived 50 Hours In Antarctica,2022-12-24T20:59:59Z,123669206,4439952,0,151399
Hydraulic Press Vs Lamborghini,2022-12-10T21:00:01Z,171015338,5134895,0,132371
Would You Fly To Paris For A Baguette?,2022-12-08T20:12:27Z,786489443,36020440,0,74392
"100 Kids Vs 100 Adults For $500,000",2022-12-03T21:00:00Z,166852426,3764760,0,95739
Gordon Ramsay Tries Most Expensive Chocolate Bar!,2022-11-19T20:59:59Z,242041107,13564162,0,28960
"Last To Take Hand Off Jet, Keeps It!",2022-11-12T21:00:00Z,119629909,3712604,0,103770
Giving iPhones Instead Of Candy on Halloween,2022-11-02T21:00:01Z,681853008,24873378,0,96057
"$1 vs $1,000,000 Hotel Room!",2022-10-22T21:00:00Z,244084147,6045514,0,114325
"The Rock Vs MrBeast For $100,000",2022-10-21T20:00:06Z,335196303,21734488,0,58020
"Survive 100 Days In Circle, Win $500,000",2022-09-24T19:59:59Z,211680025,4756978,0,96967
I Hunted 100 People!,2022-09-03T19:59:59Z,106194621,3030812,0,67264
I Survived A Plane Crash,2022-08-20T20:00:00Z,121287527,3386012,0,77867
"I Gave My 100,000,000th Subscriber An Island",2022-08-04T19:59:59Z,150634569,5678563,0,235619
"100 Boys Vs 100 Girls For $500,000",2022-07-23T20:00:09Z,148903779,4053748,0,142843
I Didn’t Eat Food For 30 Days,2022-07-02T20:00:02Z,83405567,3396818,0,108310
I Built Willy Wonka's Chocolate Factory!,2022-06-04T20:00:02Z,204453862,5773160,0,167362
"$10,000 Every Day You Survive Prison",2022-04-09T20:00:00Z,170587104,4769400,0,137921
"Would You Swim With Sharks For $100,000?",2022-03-19T20:02:32Z,141600712,3720163,0,93988
World’s Most Dangerous Escape Room!,2022-01-29T21:00:01Z,208815873,5039781,0,140125
"Extreme $1,000,000 Hide And Seek",2021-12-18T21:00:00Z,90910848,3491946,0,128204
"$1,000,000 Influencer Tournament!",2021-12-16T21:00:00Z,75779000,3008356,0,89410
I Got Hunted By The Military,2021-12-10T21:30:02Z,162724877,4098937,0,97676
"$456,000 Squid Game In Real Life!",2021-11-24T21:00:01Z,443788657,16367198,0,617394
I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29T19:59:43Z,102043741,5280824,0,176469
"Last To Take Hand Off Lamborghini, Keeps It",2021-10-23T20:00:01Z,145385900,4296904,0,131114
"First To Rob Bank Wins $100,000",2021-09-26T20:00:06Z,137808939,3760666,0,122226
"Extreme $500,000 Game Of Tag!",2021-09-04T20:00:07Z,132110330,4053018,0,101717
"Last To Leave Circle Wins $500,000",2021-08-31T20:01:03Z,306547850,6080426,0,119889
I Got Hunted By The FBI,2021-08-07T23:00:03Z,163524021,3986265,0,96177
"If You Can Carry $1,000,000 You Keep It!",2021-07-24T20:00:59Z,148623951,3267390,0,78231
"Would YOU Quit School For $100,000?",2021-07-10T20:00:09Z,132261344,3165776,0,85122
I Survived 50 Hours In A Maximum Security Prison,2021-06-26T20:00:02Z,186758795,3558514,0,101524
"Hit The Target, Win $300,000",2021-06-12T20:00:01Z,137680951,3215338,0,85538
Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01T20:00:02Z,158209151,3025060,0,86305
I Got Hunted By A Real Bounty Hunter,2021-04-24T20:00:00Z,159914895,3772714,0,126926
"Extreme $100,000 Game of Tag!",2021-04-17T20:00:00Z,171858052,3353515,0,120579
"Would You Sit In Snakes For $10,000?",2021-04-10T21:00:07Z,234134061,4855833,0,142030
"I Bought The World's Largest Mystery Box! ($500,000)",2021-04-03T20:00:01Z,191798595,4587077,0,175229
I Spent 50 Hours Buried Alive,2021-03-27T20:00:04Z,268941201,7594801,0,250889
"Offering People $100,000 To Quit Their Job",2021-03-13T21:00:02Z,113562901,3101380,0,117004
I Sold My House For $1,2021-03-06T21:00:02Z,132201595,3611267,0,117864
"I Donated $300,000 To People In Need",2021-02-13T21:00:01Z,52394164,3010792,0,152146
"I Ate $100,000 Golden Ice Cream",2021-01-22T21:00:03Z,200831894,5197468,0,175127
I Bought Everything In 5 Stores,2021-01-09T21:01:25Z,137954752,4983797,0,193660
"Youtube Rewind 2020, Thank God It's Over",2021-01-01T21:00:03Z,68323422,5029067,0,288461
"I Put 1,000,000,000 Christmas Lights On A House (World Record)",2020-12-23T21:00:06Z,91882393,2695249,0,109268
I Opened A Restaurant That Pays You To Eat At It,2020-12-19T22:00:03Z,156544364,4758975,0,746675
"I Gave People $1,000,000 But ONLY 1 Minute To Spend It!",2020-12-15T21:00:11Z,162149052,5995838,0,183249
"Steal This $100,000 Diamond, You Keep It",2020-11-28T21:00:04Z,179747630,3347577,0,96085
"Press This Button To Win $100,000!",2020-11-14T21:00:02Z,254528077,4040716,0,91613
I Survived 24 Hours Straight In Ice,2020-10-29T20:17:44Z,134370868,3699531,0,195585
I Uber’d People And Let Them Keep The Car,2020-10-24T20:00:01Z,106771671,3569820,0,85657
"$300,000 Influencer Trivia Tournament!",2020-10-18T00:19:57Z,59933085,2184945,0,117630
I Filled My Brother’s House With Slime & Bought Him A New One,2020-10-10T20:00:31Z,182989066,3625566,0,119751
Hi Me In 5 Years,2020-10-04T20:00:54Z,103214596,6036599,0,232135
"Would You Rather Have A Giant Diamond or $100,000?",2020-09-26T20:40:02Z,129096553,2545808,0,73380
"I Gave My 40,000,000th Subscriber 40 Cars",2020-09-19T20:00:02Z,133151459,3947066,0,184107
Why I Haven’t Been Uploading,2020-09-17T20:00:05Z,51203493,2640235,0,98660
"Get This Random Person 1,000,000 Subscribers",2020-09-05T20:00:17Z,69852550,2409612,0,123486
Would YOU Rather Have A Lamborghini or This House?,2020-08-22T20:00:01Z,170549165,3495089,0,152849
"Last To Leave $800,000 Island Keeps It",2020-08-15T20:00:02Z,212599537,4968065,0,229722
I Bought A Private Island,2020-08-13T20:00:07Z,139133506,3587950,0,131281
"I Spent $1,000,000 On Lottery Tickets and WON",2020-08-08T20:00:02Z,111409367,3036742,0,87070
I Ate The World’s Largest Slice Of Pizza,2020-08-01T20:00:02Z,198537779,3875980,0,135256
I Adopted EVERY Dog In A Dog Shelter,2020-07-23T20:00:11Z,197591610,4562276,0,211723
"I Bought The World's Largest Firework ($600,000)",2020-07-03T21:00:20Z,185915985,4898605,0,182057
I Broke Into A House,2020-06-25T20:00:00Z,127173405,3164834,0,194576
"Would You Rather Have $100,000 OR This Mystery Key?",2020-06-13T20:00:01Z,164534194,3298959,0,119275
I Built The World's Largest Lego Tower,2020-06-06T20:00:01Z,140471821,3076591,0,76542
I Spent 50 Hours In Solitary Confinement,2020-05-30T20:10:08Z,273197828,4514592,0,116707
If You Click This Video I'll Give My Friend .001$,2020-05-23T21:01:02Z,180426974,6636499,0,165237
"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",2020-05-07T19:59:59Z,43200285,1396863,0,66494
Videos I Could Not Upload...,2020-04-30T20:00:08Z,124542636,3534966,0,66167
"$250,000 Influencer Rock, Paper, Scissors Tournament",2020-04-26T01:36:25Z,47634131,1636575,0,56291
I Spent 24 Hours In A Doomsday Bunker,2020-04-11T20:00:00Z,171766466,2924628,0,81020
"Giving $1,000,000 Of Food To People In Need",2020-03-27T20:00:05Z,50399822,1807318,0,67881
I Ran A Marathon In The World's Largest Shoes,2020-03-21T20:00:02Z,131015301,3151812,0,71997
"$70,000 Extreme Hide And Seek - Challenge",2020-03-13T20:00:04Z,116884093,2431027,0,69576
Anything You Can Fit In The Circle I’ll Pay For,2020-03-07T21:00:00Z,234104733,4735603,0,115035
"I Ate A $70,000 Golden Pizza",2020-02-29T21:00:22Z,213378574,3964727,0,112662
"Lamborghini Race, Winner Keeps Lamborghini",2020-02-08T21:00:02Z,117387111,2478990,0,56450
I Gave My Credit Card To Random People,2020-02-01T21:00:01Z,157018490,3707451,0,98881
I Went Back To Boy Scouts For A Day,2020-01-25T21:00:01Z,106398692,2111490,0,46613
"$60,000 Extreme Hide And Seek - Challenge",2020-01-17T21:00:01Z,136719019,2571444,0,50979
"How I Gained 15,000,000 Subscribers In 1 Year",2020-01-03T21:10:01Z,18547904,892280,0,41892
Important Youtube Announcement (please watch),2019-12-28T21:00:06Z,35235568,2442468,0,131787
"Giving 10,000 Presents To Kids For Christmas",2019-12-23T21:00:04Z,60661169,2806410,0,174833
"Spending $1,000,000 In 24 Hours",2019-12-21T21:00:01Z,158541093,4169002,0,127120
"Last To Take Hand Off $1,000,000 Keeps It",2019-12-19T21:00:12Z,122913603,3176105,0,302109
"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",2019-12-14T20:59:57Z,57741594,1377469,0,93919
"Last To Leave Toilet Wins $1,000,000 (Part 3)",2019-12-07T21:11:07Z,84222802,1739558,0,50032
I Ordered Pizza And Tipped The House,2019-12-05T21:00:02Z,121491127,4005250,0,106669
"Last to Stop Swinging Wins $1,000,000 (Part 2)",2019-11-30T21:00:03Z,109185762,2065010,0,82200
"$50,000 Game Of Extreme Hide And Seek - Challenge",2019-11-28T21:00:01Z,135794045,2805698,0,52001
I Opened A FREE BANK,2019-11-23T21:00:17Z,98668754,2656056,0,95292
"Going Around A Ferris Wheel 1,000 Times Straight",2019-11-16T21:00:47Z,96110696,2247615,0,49837
"Last To Fall Wins $1,000,000 (Part 1)",2019-11-14T21:00:31Z,135988568,2829186,0,55656
Surviving 24 Hours Straight In The Bermuda Triangle,2019-11-09T21:00:55Z,190209875,3718295,0,98668
"I Spent $100,000 On Lottery Tickets And Won!",2019-10-31T20:00:02Z,47752498,1255832,0,30732
"Planting 20,000,000 Trees, My Biggest Project Ever!",2019-10-25T19:01:01Z,94596245,4293836,0,167129
"Last To Take Hand Off Boat, Keeps It",2019-10-19T20:06:01Z,111279890,1952993,0,58981
"I Searched 100 Dumpsters, Here's What I Found",2019-10-12T20:10:01Z,154465941,2538947,0,57839
"Going Through The Same Drive Thru 1,000 Times",2019-10-05T20:00:08Z,226642275,4495737,0,132215
"Donating $100,000 To Random Streamers",2019-09-28T20:29:58Z,56553109,1742006,0,44315
Surviving 24 Hours Straight In A Rain Forest,2019-09-21T21:00:00Z,110948365,2303126,0,73249
"Last To Leave Ramen Noodle Pool Wins $20,000",2019-09-13T20:00:05Z,65283662,1444615,0,44682
"Anything You Can Carry, I'll Pay For #2",2019-09-06T20:00:00Z,65474016,1471864,0,33619
"I Gave My Brother 24 Hours To Spend $100,000",2019-08-31T20:00:01Z,84972597,2273903,0,57450
I Opened A Free Car Dealership,2019-08-29T20:00:00Z,124784539,3300486,0,139811
"Last To Leave Pool Of $20,000 Keeps It",2019-08-24T20:00:01Z,152178758,2981178,0,83107
Surviving 24 Hours On A Deserted Island,2019-08-22T20:00:07Z,158957050,3114400,0,78626
"Last To Leave Roller Coaster Wins $20,000 - Challenge",2019-08-17T20:00:00Z,129640703,2745692,0,67711
I Won Every Prize At A Theme Park,2019-08-15T19:59:59Z,151058882,2775364,0,69018
Destroying My Friend's Car And Surprising Him With A New One,2019-08-10T20:00:00Z,98081379,2609515,0,62567
I Spent 24 Hours Straight At Area 51,2019-08-02T21:00:01Z,137850481,3371193,0,98347
"Can 50,000 Magnets Catch A Cannon Ball?",2019-07-20T20:00:02Z,98031342,1909059,0,46419
World's Largest Game Of Dodgeball,2019-07-12T20:05:00Z,73006562,1531240,0,57759
"Last To Leave Revolving Door Wins $50,000",2019-07-02T20:00:01Z,137064563,3281189,0,181781
Tipping Waitresses With Real Gold Bars,2019-06-21T20:00:01Z,65610936,1721964,0,86818
I Opened The World's First FREE Store,2019-06-15T20:00:00Z,78661815,2165699,0,77503
Spending 24 Hours On Top Of A Mountain,2019-06-13T20:00:01Z,159224286,3217085,0,113714
"Last To Leave VR Wins $20,000",2019-06-08T20:00:01Z,130944418,2865258,0,95486
"Last To Stop Running Wins $20,000",2019-06-06T20:00:00Z,102083560,2145320,0,67380
"Paying People $10,000 To Eat Ghost Pepper",2019-06-01T20:05:01Z,39725207,1117908,0,36183
24 Hours In The Most Haunted Place On Earth,2019-05-30T20:07:01Z,104802919,2563257,0,135669
I Bought Everything In A Store - Challenge,2019-05-18T20:05:02Z,135478468,4013738,0,183935
World's Largest Bowl Of Cereal,2019-05-15T21:05:01Z,151126891,2570089,0,84331
Spending 24 Hours In A City With No Laws,2019-05-07T21:00:01Z,138176420,2534766,0,67397
"Giving $10,000 To Random People And Saying Nothing",2019-04-30T20:00:06Z,70025605,1661179,0,50611
Molten Lava Vs Giant Ice Block Experiment,2019-04-27T20:00:02Z,87037794,1726351,0,43200
"Anything You Can Carry, I'll Pay For Challenge",2019-04-20T20:00:03Z,83573052,1694169,0,92998
Homeless Man Buys A Lamborghini,2019-04-18T20:05:00Z,135422132,3535159,0,78379
Playing Battleship With Real Ships,2019-04-06T20:05:58Z,36934846,1003948,0,35792
"Donating $100,000 To Shroud In Real Life",2019-04-04T21:05:59Z,31827167,879773,0,21224
"Last To Leave The Tesla, Keeps It Challenge",2019-03-29T21:05:00Z,99435613,1808715,0,45400
"Donating $100,000 To Streamers With 0 Viewers",2019-03-24T20:00:04Z,84832402,3045921,0,73997
Surviving 24 Hours Straight In A Desert,2019-03-16T20:05:00Z,122259332,2560114,0,93099
"$200,000 Youtuber Battle Royale",2019-03-12T22:00:00Z,47617310,1651332,0,144717
Surprising Strangers With 100 Zombies - Experiment,2019-03-03T22:04:59Z,58937210,1774129,0,57802
I Gave A Homeless Man A Home,2019-02-28T22:06:00Z,74713100,2088010,0,114412
Standing Still For 24 Hours Straight - Statue Challenge,2019-02-22T22:05:59Z,89778986,1737402,0,37492
Giant Monopoly Game With Real Money,2019-02-15T22:05:00Z,95144373,2114766,0,69323
I Spent 24 Hours Straight In Insane Asylum,2019-02-10T21:05:00Z,106270060,2133794,0,136028
I Advertised Pewdiepie At The Super Bowl,2019-02-04T22:00:01Z,43231127,1260018,0,66850
I Went Back To 1st Grade For A Day,2019-01-31T22:05:00Z,167924632,2982383,0,140121
I Opened The World’s Cheapest Store,2019-01-26T21:05:00Z,40928811,1149411,0,85154
I Put 10 Million Legos in Friend's House,2019-01-18T22:04:59Z,80593735,1432611,0,63162
Make This Video The Most Liked Video On Youtube,2019-01-16T22:05:01Z,133451343,26953630,0,296664
"20,000 Magnets Vs A Car",2019-01-14T22:05:00Z,33165006,767712,0,24393
"Eating A $10,000 Golden Steak (24k Gold)",2019-01-11T22:05:00Z,130576428,2179258,0,91967
Last To Take Hand Off House Keeps It!,2019-01-08T21:05:00Z,77869840,1456990,0,44757
"I Gave Him One Hour To Spend $100,000!",2019-01-01T21:05:01Z,69841007,1435675,0,69413
"How I Gave Away $1,000,000",2018-12-25T21:05:01Z,14362294,492895,0,34751
"Giving $100,000 To A Homeless Person",2018-12-23T21:00:01Z,30989449,1028318,0,72378
I Spent 24 Hours Straight In Prison - Challenge,2018-12-19T21:05:02Z,106397685,1982705,0,76319
Donating $10000 To Pewdiepie,2018-12-16T21:05:02Z,46545594,1737482,0,50936
"Last Youtuber To Leave Wins $100,000 - Challenge",2018-12-12T21:00:02Z,88942132,2035443,0,97680
I Put Millions Of Pennies In My Friends Backyard,2018-12-08T21:05:02Z,132287737,2340210,0,63012
Surprising TFue With A Fortnite Battle Bus In Real Life,2018-12-07T22:11:00Z,99130491,1871531,0,64051
I Built A Giant House Using Only Legos,2018-12-02T20:05:01Z,63618673,1044240,0,50346
"Last To Leave Slime Pit Wins $20,000 - Challenge",2018-11-30T21:11:01Z,115857449,2063381,0,72383
"Saying Pewdiepie 100,000 Times",2018-11-25T21:07:01Z,25514925,1686982,0,173329
Destroyed Friend's House And Bought Him A New One,2018-11-24T21:06:01Z,42596230,1125602,0,70058
I Put 100 Million Orbeez In My Friend's Backyard,2018-11-22T21:08:01Z,183432232,4594227,0,137636
"Spending $40,000 In One Hour Challenge",2018-11-17T21:06:02Z,43841128,931013,0,56173
"Giving My 10,000,000th Subscriber 10,000,000 ___",2018-11-13T21:05:04Z,27850144,779804,0,32726
"$10,000 Games Of Rock Paper Scissors",2018-11-04T21:05:02Z,18242409,514509,0,25791
"Last To Remove Hand, Gets Lamborghini Challenge",2018-11-02T20:05:01Z,82572479,1568025,0,75153
"You Pick The Right Cup, You Win $100,000!",2018-10-28T20:06:01Z,35886957,982362,0,36455
I Bought Every Billboard In My City For This,2018-10-26T21:06:02Z,38442577,1333395,0,110270
"Ordering Water Then Tipping $30,000",2018-10-23T20:11:02Z,43100890,1154251,0,47479
"I Spent $50,000 On Lottery Tickets And Won ____",2018-10-19T21:05:02Z,30911740,750079,0,34688
"Last To Leave Circle Wins $10,000 - Challenge",2018-10-12T22:05:04Z,86797839,1503637,0,60372
I Spent 24 Hours Straight In Slime,2018-10-09T20:05:02Z,40760840,916229,0,34063
"Surprising Tfue With $10,000 Live - Fortnite",2018-10-04T20:07:01Z,71567644,1508773,0,47990
"I Spent $30,000 On Lottery Tickets And Won ____",2018-09-28T21:05:00Z,16981767,424994,0,22732
Flat Earth PROVEN By Independent Research,2018-09-22T20:05:01Z,27733862,796892,0,140379
Things That SHOULDN'T Be Sold On Amazon,2018-09-21T22:06:01Z,128170635,2019929,0,55132
"Surprising My 8,000,000th Subscriber With 8,000,000 ___",2018-09-19T20:05:01Z,32126434,546271,0,19104
"I Donated $25,000 To Random Kids Streaming Fortnite",2018-09-14T20:09:01Z,63167453,1303827,0,40623
I Hope This Magic Trick Works,2018-09-11T21:13:59Z,42692076,723998,0,19951
Can A Glowing 1000 Degree Sword Slice A Car In Half?,2018-09-06T21:09:00Z,68557613,1143365,0,39143
Rocket League In Real Life!,2018-09-01T21:08:58Z,28266531,545988,0,16796
Destroying My Friend's Car And Surprising Him With A New One - Slime,2018-08-28T22:08:59Z,104066309,2302329,0,66789
Spending 24 Hours Straight Under Water Challenge,2018-08-24T22:09:00Z,122175259,3152554,0,106799
"Attempting The Impossible Maze - $10,000 Challenge",2018-08-15T21:08:59Z,55897180,1017153,0,33277
"Donating $100,000 To A Random Fortnite Streamer",2018-08-05T22:00:00Z,51587359,1095169,0,51434
Moving 10 Pounds Using ONLY Sound,2018-08-02T21:09:00Z,44420762,1207681,0,51138
Returning Destroyed Rental Cars Prank,2018-07-27T21:09:00Z,36330117,614533,0,18011
"I Gave My 6,000,000th Subscriber 6,000,000 ____",2018-07-25T21:11:00Z,17557542,397683,0,33298
"Can 1,000 Fans At Max Speed Push A Car?",2018-07-17T21:41:02Z,28369658,623364,0,37704
"I Donated $50,000 To Ninja - Fortnite",2018-07-14T21:06:00Z,95928809,2138166,0,61584
I Ubered Random People In A Tank,2018-07-11T21:16:00Z,29718835,874882,0,45165
World's Hottest Substance Vs Coldest Substance,2018-06-30T21:09:00Z,86471581,1602293,0,54347
The Real Way Dinosaurs Went Extinct,2018-06-28T21:12:01Z,27980009,780628,0,44576
I Donated $1000 Every Time She Blinked - Fortnite Streamers,2018-06-24T21:10:00Z,21369520,638926,0,25336
I Built A Working Car Using Only LEGOS,2018-06-23T21:09:58Z,73752892,1670347,0,102503
Do Water Repellent Shoes Actually Work?,2018-06-22T22:11:00Z,116713291,1811522,0,65723
"We Drove 3,000 Miles For The World's Best Burger",2018-06-09T21:13:59Z,52430364,1213710,0,97537
"I Gave My 5,000,000th Subscriber 5,000,000 ______",2018-06-08T22:36:59Z,11158883,294345,0,19587
I Made Money Grow On Trees,2018-06-01T22:09:00Z,17110778,435613,0,37373
I Took Apart My Friends Car And Put It In His Room,2018-05-25T22:41:59Z,15611229,314737,0,12490
How Many Rubber Bands Does It Take To Snap A Safe?,2018-05-22T22:14:01Z,36757627,917810,0,46200
Pulling Cars Over Using A Toy Police Car,2018-05-13T21:10:01Z,24403500,548288,0,19370
"I Gave $500,000 To Random People",2018-05-11T22:40:59Z,14930048,453955,0,31614
How Many Toy Cars Does It Take To Pull A Real Car?,2018-05-04T22:08:58Z,40426718,762333,0,27545
"I Gave $20,000 To People From An Ice Cream Truck",2018-05-02T22:11:00Z,14614466,348370,0,21639
$10000 Ice Sculpture Vs Flame,2018-05-01T22:09:00Z,23437549,505152,0,31028
"Can 1,000 Rolls Of Duct Tape Stop A Car??",2018-04-30T22:09:00Z,26537949,549235,0,25309
Winning A Game Of Fortnite In The Middle Of The Ocean,2018-04-25T22:09:02Z,31094233,789125,0,49043
I Flew Using Only Balloons AND Leaf Blowers,2018-04-23T22:09:02Z,32316587,657433,0,45820
"I Donated $40,000 To A Random Twitch Fortnite Streamer (world record)",2018-04-21T21:07:02Z,24151270,628500,0,29876
Destroying My Friend's Car And Surprising Him With A New One,2018-04-13T22:21:00Z,38459601,626724,0,36665
Walking Up To Random People With 100 StormTroopers,2018-04-11T22:09:01Z,19109787,497820,0,39681
